Ref,Val,Package,PosX,PosY,Rot,Side
"J106","BM02B-GHS-TBT","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",136.580000,-120.850000,180.000000,top
"J107","1412410000","1412410000",237.200000,-80.200000,180.000000,top
"J108","BM02B-GHS-TBT","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",143.655000,-120.850000,180.000000,top
"J109","BM08B-GHS-TBT","JST_GH_BM08B-GHS-TBT_1x08-1MP_P1.25mm_Vertical",161.555000,-120.850000,180.000000,top
"J110","61004021821","PinSocket_2x20_P2.54mm_Vertical_SMD",177.140000,-78.240000,-90.000000,top
"J112","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",207.721200,-74.980800,180.000000,top
"J113","1412410000","1412410000",126.472500,-112.400000,-90.000000,top
"J114","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",210.730000,-106.140000,180.000000,top
"L301","MPI40","MPI40_Inductor",195.707000,-119.938800,90.000000,top
"L302","HER4027","HER4027-100M",204.575000,-111.625000,-90.000000,top
"Q101","MMBT2222A","SOT-23",205.200000,-82.700000,90.000000,top
"Q103","MMBT2222A","SOT-23",210.100000,-82.700000,90.000000,top
"Q201","MMBT2222A","SOT-23",140.757500,-88.330000,180.000000,top
"Q202","MMBT2222A","SOT-23",209.039700,-88.275200,0.000000,top
"Q203","MMBT2222A","SOT-23",149.562500,-88.362500,180.000000,top
"Q204","MMBT2222A","SOT-23",203.800000,-88.300000,0.000000,top
"Q205","MMBT2222A","SOT-23",146.205000,-78.417500,180.000000,top
"Q208","MMBT2222A","SOT-23",137.262500,-78.425000,180.000000,top
"Q501","HMHA281","HMHA281",214.070000,-97.670000,90.000000,top
"R101","10k 1%","R_0402_1005Metric",136.680000,-116.850000,0.000000,top
"R102","10k 1%","R_0402_1005Metric",150.880000,-116.850000,0.000000,top
"R103","10k 1%","R_0402_1005Metric",143.780000,-116.850000,0.000000,top
"R104","1k 1%","R_0402_1005Metric",226.559700,-104.560000,180.000000,top
"R105","1k 1%","R_0402_1005Metric",226.540800,-105.670000,180.000000,top
"R106","1k 1%","R_0402_1005Metric",226.571700,-103.450000,180.000000,top
"R107","5k1 5%","R_0402_1005Metric",207.700000,-84.400000,-90.000000,top
"R108","0R","R_0402_1005Metric",210.800000,-85.500000,180.000000,top
"R109","100k 1%","R_0402_1005Metric",205.800000,-85.200000,0.000000,top
"R110","5k1 5%","R_0402_1005Metric",202.900000,-84.200000,-90.000000,top
"R201","5k1 5%","R_0402_1005Metric",155.540000,-83.830000,90.000000,top
"R203","10k 1%","R_0402_1005Metric",137.770000,-88.330000,0.000000,top
